Region,Year,autumn_thermal_time,autumn_wetness_hours,autumn_wet_day_frac,autumn_splash_risk,winter_thermal_time,winter_wetness_hours,winter_wet_day_frac,winter_splash_risk,spring_thermal_time,spring_wetness_hours,spring_wet_day_frac,spring_splash_risk,spring_to_june_thermal_time,spring_to_june_wetness_hours,spring_to_june_wet_day_frac,spring_to_june_splash_risk,season_total_thermal_time,season_total_wetness_hours,season_total_wet_day_frac,season_total_splash_risk
East,1971,1241.5,1243.2,0.5714285714285714,109.81333333333332,599.4,1755.2,0.8333333333333334,87.61333333333333,943.6,1113.6000000000001,0.4673913043478261,92.35333333333335,1233.1999999999998,1416.0,0.48214285714285715,137.85333333333335,3074.0999999999995,4414.4,0.6177474402730375,335.28
East,1972,1187.4,1289.6,0.5934065934065934,84.46,645.6,1827.1999999999998,0.9,100.56666666666666,998.7000000000002,1395.2000000000003,0.6304347826086957,107.80666666666667,1282.4,1718.3999999999999,0.6339285714285714,146.40666666666667,3123.2999999999997,4859.2,0.7040816326530612,331.43333333333334
East,1973,1117.5000000000002,1184.0,0.5384615384615384,60.54666666666667,634.1999999999999,1748.8000000000002,0.8222222222222222,66.58,964.0,1081.6,0.43478260869565216,67.75333333333334,1306.0,1166.4,0.38392857142857145,117.15333333333334,3057.7,4099.2,0.5665529010238908,240.83999999999997
East,1974,1099.2000000000003,1244.8,0.5604395604395604,68.65333333333334,688.6000000000001,1660.8,0.7777777777777778,120.45333333333333,968.9000000000001,968.0,0.43478260869565216,37.8,1288.1999999999998,1148.8,0.41964285714285715,42.43333333333333,3076.0,4054.4,0.5733788395904437,221.94
East,1975,1003.2,1464.0,0.6703296703296703,169.80666666666667,774.1,1488.0,0.6888888888888889,71.22,894.2999999999998,1260.8000000000002,0.5543478260869565,116.94666666666666,1214.8,1417.6,0.5089285714285714,132.64666666666665,2992.1,4369.6,0.6143344709897611,373.67333333333335
East,1976,1128.5999999999997,1193.6000000000001,0.5274725274725275,75.84,636.2,1515.2,0.7555555555555555,66.66666666666667,981.2999999999998,831.9999999999999,0.33695652173913043,34.00666666666667,1341.6,910.4,0.30357142857142855,34.00666666666667,3117.0,3627.2000000000003,0.5102040816326531,176.51333333333332
East,1977,1153.2,1664.0,0.7472527472527473,213.64666666666668,481.1,1862.3999999999999,0.8666666666666667,175.30666666666667,949.6,1124.8,0.4782608695652174,86.98,1239.0,1345.6000000000001,0.4732142857142857,108.92,2873.3,4872.0,0.6791808873720137,495.0733333333334
East,1978,1194.1000000000001,1118.3999999999999,0.4725274725274725,30.7,563.3,1601.6,0.7555555555555555,148.66,932.3000000000001,1233.6,0.5,91.38666666666667,1266.9,1393.6,0.4642857142857143,117.08666666666667,3024.3,4113.6,0.5563139931740614,295.24666666666667
East,1979,1263.8,1081.6000000000001,0.4725274725274725,16.88,371.9,1726.3999999999999,0.8111111111111111,186.7,916.4,1548.7999999999997,0.6739130434782609,176.53333333333336,1250.6,1750.4,0.6160714285714286,181.87333333333333,2886.3,4558.4,0.6313993174061433,385.4533333333334
East,1980,1185.9,1214.3999999999999,0.5274725274725275,83.23333333333332,606.0,1713.6000000000001,0.8444444444444444,143.46,943.3,867.2,0.3695652173913043,52.32,1296.1000000000001,1051.1999999999998,0.36607142857142855,77.12,3097.5999999999995,3996.8,0.564625850340136,303.81333333333333
