Region,Year,autumn_mean_temp,autumn_total_precip,autumn_rain_days,autumn_mean_rh,autumn_mean_wind,winter_mean_temp,winter_total_precip,winter_rain_days,winter_mean_rh,winter_mean_wind,spring_mean_temp,spring_total_precip,spring_rain_days,spring_mean_rh,spring_mean_wind,spring_to_june_mean_temp,spring_to_june_total_precip,spring_to_june_rain_days,spring_to_june_mean_rh,spring_to_june_mean_wind
East,1971,11.242857142857144,183.9,34,79.67032967032966,17.142857142857142,4.259999999999999,136.0,36,86.84444444444445,14.472222222222221,7.856521739130436,162.1,32,78.84782608695652,12.772826086956524,9.058196721311477,241.3,48,78.80327868852459,13.277049180327868
East,1972,10.648351648351648,120.6,26,81.38461538461539,14.494505494505495,4.743333333333334,136.5,32,87.55555555555556,15.698888888888888,8.455434782608695,178.7,48,78.08695652173913,17.143478260869564,9.422950819672133,235.59999999999997,62,77.73770491803279,16.35737704918033
East,1973,9.88021978021978,117.70000000000002,22,81.46153846153847,14.79340659340659,4.646666666666666,99.10000000000001,22,87.28888888888889,14.482222222222221,8.078260869565218,153.0,36,76.78260869565217,14.360869565217392,9.855737704918033,245.60000000000002,42,76.04098360655738,13.662295081967214
East,1974,9.67912087912088,120.2,25,80.24175824175825,14.498901098901097,5.251111111111112,168.7,40,84.0111111111111,18.696666666666665,8.131521739130434,101.5,26,77.3586956521739,14.354347826086958,9.511475409836065,155.79999999999998,38,76.55737704918033,14.309836065573773
East,1975,8.624175824175824,257.09999999999997,45,82.0,17.40989010989011,6.201111111111112,131.5,32,83.68888888888888,18.993333333333336,7.320652173913045,195.30000000000004,40,78.97826086956522,15.64782608695652,8.90983606557377,225.50000000000003,47,77.42622950819673,14.999180327868855
East,1976,10.002197802197802,147.9,24,80.45054945054945,14.641758241758238,4.668888888888889,92.8,19,84.65555555555555,16.804444444444442,8.266304347826088,111.89999999999999,28,74.22826086956522,15.097826086956525,10.504918032786884,122.9,31,73.30327868852459,14.228688524590167
East,1977,10.272527472527472,261.0,48,83.57142857142857,13.797802197802199,2.936666666666666,216.20000000000002,40,88.27777777777777,14.568888888888893,7.921739130434782,150.3,40,76.42391304347827,17.496739130434786,9.077868852459018,192.0,50,76.25409836065573,16.79754098360656
East,1978,10.721978021978021,96.39999999999999,25,78.78021978021978,17.983516483516482,3.853333333333334,182.70000000000002,36,85.47777777777777,17.078888888888887,7.733695652173913,165.3,36,78.57608695652173,15.268478260869562,9.245081967213117,247.6,50,77.81967213114754,14.75983606557377
East,1979,11.487912087912086,69.89999999999999,12,80.71428571428571,15.884615384615385,1.663333333333333,223.1,41,86.58888888888889,15.364444444444445,7.560869565217391,264.3,58,78.95652173913044,16.594565217391306,9.238524590163934,299.8,66,78.41803278688525,15.344262295081965
East,1980,10.631868131868133,134.6,26,81.32967032967034,14.743956043956045,4.333333333333334,191.1,33,86.14444444444445,16.234444444444442,7.853260869565218,113.9,30,75.31521739130434,14.646739130434783,9.44672131147541,189.69999999999996,44,75.22950819672131,14.381967213114754
East,1981,10.263736263736265,148.0,31,80.0,17.718681318681316,4.076666666666667,114.9,25,83.68888888888888,18.086666666666666,9.015217391304347,253.29999999999998,51,80.67391304347827,16.327173913043474,10.100819672131145,273.90000000000003,59,79.24590163934427,16.51065573770492
East,1982,10.31098901098901,175.29999999999998,39,79.3076923076923,16.763736263736263,2.336666666666667,106.39999999999999,30,86.83333333333333,15.256666666666662,8.626086956521737,149.29999999999998,32,75.04347826086956,14.788043478260873,10.405737704918034,264.0,50,75.95901639344262,13.995081967213114
East,1983,11.106593406593406,240.7,37,82.92307692307692,15.710989010989008,4.1211111111111105,123.10000000000001,24,82.46666666666667,19.545555555555556,7.740217391304348,231.1,52,79.70652173913044,15.429347826086957,9.347540983606558,271.0,60,78.77049180327869,15.090983606557378
East,1984,10.789010989010988,161.0,28,80.31868131868131,16.485714285714284,3.8755555555555556,166.29999999999998,34,83.73333333333333,19.044444444444448,7.213043478260869,118.39999999999999,23,76.25,13.455434782608696,8.961475409836066,172.9,34,76.04918032786885,13.454098360655736
East,1985,11.31098901098901,178.6,31,81.54945054945055,16.926373626373625,2.417777777777778,104.5,26,86.1,14.496666666666668,8.019565217391305,184.39999999999998,42,79.1304347826087,15.478260869565222,9.18360655737705,295.19999999999993,61,78.88524590163935,15.155737704918035
East,1986,10.074725274725274,73.1,21,80.56043956043956,14.127472527472527,3.115555555555556,154.39999999999998,33,82.34444444444445,19.02444444444445,7.516304347826087,211.4,51,77.8586956521739,17.318478260869565,9.34344262295082,227.79999999999998,57,76.60655737704919,16.772950819672133
East,1987,10.204395604395604,148.0,35,81.87912087912088,15.563736263736264,3.1800000000000006,120.19999999999999,25,84.47777777777777,16.48111111111111,8.017391304347827,188.50000000000003,38,77.41304347826087,15.452173913043477,9.29344262295082,294.5,58,78.34426229508196,14.777868852459017
East,1988,10.36043956043956,188.6,32,82.51648351648352,14.725274725274724,5.3100000000000005,163.70000000000002,34,84.25555555555556,18.342222222222222,8.620652173913044,171.4,41,77.42391304347827,15.016304347826088,9.940983606557378,200.0,49,77.64754098360656,14.490983606557377
East,1989,10.082417582417584,109.7,26,82.73626373626374,14.524175824175824,6.2844444444444445,83.0,23,84.78888888888889,17.61111111111111,9.316304347826087,160.39999999999998,33,76.28260869565217,15.605434782608697,10.688524590163933,212.8,43,74.67213114754098,14.740983606557378
East,1990,11.285714285714286,95.5,22,79.65934065934066,14.790109890109889,6.482222222222222,203.3,40,83.23333333333333,21.085555555555555,9.913043478260871,68.89999999999999,20,71.59782608695652,15.166304347826086,10.997540983606557,108.19999999999999,32,71.92622950819673,15.062295081967214
East,1991,11.009890109890112,125.5,27,78.16483516483517,15.902197802197799,3.242222222222223,124.70000000000002,31,84.45555555555555,16.557777777777776,8.816304347826087,116.0,31,78.17391304347827,15.627173913043478,9.718852459016396,214.9,54,78.09016393442623,15.65655737704918
East,1992,10.74835164835165,123.89999999999999,24,78.7032967032967,15.378021978021978,4.319999999999999,79.8,17,86.43333333333334,14.484444444444444,9.95,160.59999999999997,36,75.26086956521739,16.840217391304346,11.472950819672132,196.20000000000002,44,74.97540983606558,15.548360655737708
East,1993,9.776923076923076,213.2,34,80.91208791208791,16.70989010989011,4.743333333333334,105.6,24,85.45555555555555,16.805555555555557,9.334782608695653,177.9,26,77.08695652173913,15.90108695652174,10.79754098360656,221.89999999999998,33,76.77049180327869,14.745901639344263
East,1994,8.818681318681318,202.8,30,83.67032967032966,13.837362637362636,4.5600000000000005,204.8,44,83.82222222222222,19.12,8.992391304347825,175.0,39,75.78260869565217,18.403260869565216,10.531967213114754,192.9,44,74.44262295081967,17.64016393442623
East,1995,11.02967032967033,163.5,33,82.79120879120879,14.628571428571432,5.703333333333333,190.0,41,83.0111111111111,20.615555555555552,8.697826086956523,115.89999999999999,28,72.8586956521739,16.039130434782606,9.916393442622953,141.2,34,73.13934426229508,15.658196721311475
