target,smoother,w_selected,test_rmse,smoother_ro,w_selected_ro,test_rmse_ro,model_only_rmse,smoother_only_rmse,fixed_blend_0.5_rmse,oracle_w,oracle_smoother,oracle_rmse,vs_model_%,ro_vs_model_%,vs_fixed_blend_%,cost_of_honesty_%
Zymoseptoria_tritici_Disease_Severity,roll_k8,1.0,2.5374197594534778,roll_k8,1.0,2.5374197594534778,2.5374197594534778,2.6235128802664156,2.3454858734881485,0.5,roll_k8,2.3454858734881485,0.0,0.0,8.183118394991219,8.183118394991219
Yellow_rust_Disease_Severity,ewma_a30,0.0,0.06910327270911362,ewma_a30,0.1,0.06876415600634499,0.10807815417428893,0.06910327270911362,0.07861282212144687,0.1,roll_k8,0.06715382505835407,-36.0617571265361,-36.3755270140397,-12.096690025505241,2.9029584674671316
Zymoseptoria_tritici_Crop_Incidence,roll_k8,1.0,21.06718003913992,roll_k8,1.0,21.06718003913992,21.06718003913992,23.92798644245564,21.234735428757286,0.8,roll_k8,20.806625013890667,0.0,0.0,-0.7890627607747502,1.2522695298987863
Yellow_rust_Crop_Incidence,roll_k8,0.0,11.408412133766012,ewma_a30,0.0,11.428979489625801,11.461719340125939,11.408412133766012,11.333762190595726,0.5,ewma_a30,11.26481888901791,-0.46508909159296286,-0.2856451944824645,0.6586510455656835,1.2747053118456364
